"Marca temporal","¿Ha realizado compras en Mercado Libre en los últimos 6 meses?","¿Considera que el proceso de compra en Mercado Libre es rápido?","¿El sistema de Mercado Envíos (logística) cumple con los tiempos de entrega prometidos?","¿La variedad de productos que ofrece Mercado Libre es satisfactoria?    ","Considera que los precios en Mercado Libre son competitivos en comparación con otras tiendas?","¿La información y descripción de los productos en la plataforma es clara?","Utilizas tarjetas de debito o crédito en tus compras de mercado libre?"
"2025/10/07 9:36:52 a.m. GMT-3","Si","Si","Siempre","Si","Si","No","Debito"
"2025/10/07 9:38:08 a.m. GMT-3","Si","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 9:39:55 a.m. GMT-3","Si","Si","Aveces","Si","Si","No","Debito"
"2025/10/07 9:40:23 a.m. GMT-3","Si","Si","Siempre","Si","No","No","Debito"
"2025/10/07 9:49:12 a.m. GMT-3","No","No","Aveces","Si","Si","No","Debito"
"2025/10/07 9:54:20 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 10:00:31 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 10:02:26 a.m. GMT-3","Si","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 10:02:28 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 10:02:39 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 10:06:26 a.m. GMT-3","Si","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 10:10:15 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Credito"
"2025/10/07 10:18:03 a.m. GMT-3","Si","Si","Aveces","No","No","No","Debito"
"2025/10/07 10:31:00 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Credito"
"2025/10/07 10:33:21 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 10:38:10 a.m. GMT-3","Si","Si","Siempre","No","No","No","Credito"
"2025/10/07 10:39:14 a.m. GMT-3","Si","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 10:46:33 a.m. GMT-3","No","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 11:03:04 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 11:08:29 a.m. GMT-3","Si","Si","Aveces","Si","No","No","Debito"
"2025/10/07 11:18:11 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 11:18:50 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Credito"
"2025/10/07 11:28:28 a.m. GMT-3","Si","Si","Aveces","Si","Si","No","Debito"
"2025/10/07 12:17:20 p.m. GMT-3","No","Si","Aveces","No","Si","Si","Debito"
"2025/10/07 1:13:17 p.m. GMT-3","Si","Si","Aveces","Si","No","No","Debito"
"2025/10/07 1:41:36 p.m. GMT-3","Si","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 2:36:40 p.m. GMT-3","Si","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 2:39:11 p.m. GMT-3","Si","Si","Aveces","No","Si","Si","Debito"
"2025/10/07 2:40:57 p.m. GMT-3","Si","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 2:42:30 p.m. GMT-3","No","Si","Aveces","No","No","Si","Debito"
"2025/10/07 3:05:54 p.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/07 5:19:39 p.m. GMT-3","No","Si","Aveces","Si","Si","Si","Debito"
"2025/10/07 6:28:49 p.m. GMT-3","Si","Si","Siempre","Si","No","No","Debito"
"2025/10/07 8:20:29 p.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
"2025/10/08 4:08:02 a.m. GMT-3","No","Si","Siempre","Si","Si","Si","Credito"
"2025/10/08 7:29:23 a.m. GMT-3","Si","Si","Siempre","Si","Si","Si","Debito"
